frequency,raw
20.000000000000004,-3.989800547975175
20.067605508258467,-3.988857856140555
20.135439541754284,-3.9879049400508904
20.20350287296568,-3.986941788553906
20.271796276982094,-3.9859683901846217
20.34032053151297,-3.9849847331654966
20.40907641689662,-3.984009227485513
20.478064716109134,-3.983030913092948
20.54728621477325,-3.982042390378641
20.616741701167346,-3.981043646609821
20.6864319662344,-3.980034668740774
20.756357803590973,-3.978955454102408
20.82652000953629,-3.977766281259972
20.896919383061288,-3.97656629352088
20.967556725857687,-3.975355474764525
21.038432842327182,-3.974133808548602
21.10954853959054,-3.972901278115303
21.18090462749683,-3.9718683794470375
21.25250191863264,-3.970826638571276
21.324341228331296,-3.969774699819229
21.39642337468222,-3.968712547579361
21.46874917854015,-3.967640165929454
21.541319463534588,-3.966557538627924
21.61413505607911,-3.9654646491283088
21.687196785380777,-3.964361480564907
21.760505483449627,-3.9632480157596706
21.83406198510812,-3.9621242372250154
21.907867128000625,-3.9609511859760422
21.981921752602993,-3.959645325146496
22.05622670223213,-3.958328550647271
22.130782823055547,-3.9570008418855607
22.205590964101077,-3.955662177950225
22.280651977266455,-3.954312537606334
22.35596671732911,-3.952951899294712
22.431536041955837,-3.951580241138392
22.50736081171256,-3.9501975409334498
22.5834418900742,-3.9488037761570687
22.659780143434396,-3.9473989239618006
22.736376441115492,-3.945999928165404
22.813231655378377,-3.9446009490569174
22.89034666143237,-3.9431909070859272
22.9677223374453,-3.941769778438138
23.045359564553426,-3.940337538962854
23.123259226871458,-3.9388468893432544
23.201422211502702,-3.9372334866284286
23.279849408549108,-3.935608361687192
23.35854171112138,-3.933971487262738
23.437500015349237,-3.9323228357588618
23.51672522039151,-3.930662379254633
23.59621822844647,-3.929196883142717
23.67597994476207,-3.9277291392984703
23.756011277646213,-3.926250236205607
23.83631313847718,-3.924760147084505
23.916886441713913,-3.9232588448257455
23.997732104906515,-3.921652956965271
24.07885104870666,-3.9199705093872974
24.160244196878043,-3.9182762291507394
24.24191247630697,-3.916570086032935
24.32385681701288,-3.91485204946224
24.406078152158894,-3.913085547292876
24.48857741806252,-3.911156132474983
24.57135555420627,-3.909214096725104
24.654413503248353,-3.9072594059847776
24.73775221103344,-3.905292025886934
24.82137262660338,-3.903311921679763
24.905275702208097,-3.9015167520613345
24.98946239331635,-3.8997321904420814
25.07393365862665,-3.897935545821569
25.158690460078187,-3.896126784621498
25.243733762861737,-3.8943058729114983
25.32906453543071,-3.89238270627176
25.41468374951219,-3.8903802150580034
25.500592380117883,-3.888364938230724
25.586791405555378,-3.886336838724512
25.67328180743918,-3.8842958791111495
25.76006457070192,-3.882249446074262
25.847140683605573,-3.88021487317873
25.934511137752747,-3.8781674347386494
26.02217692809787,-3.8761070923109777
26.110139052958676,-3.8740338071044778
26.1983985140274,-3.871947539976014
26.28695631638233,-3.870035866576945
26.375813468499196,-3.86814014548574
26.464970982262617,-3.866232055215812
26.554429872977696,-3.864311557717522
26.644191159381517,-3.8623786145696655
26.7342558636548,-3.860356040320974
26.82462501143352,-3.858240558031301
26.915299631820556,-3.8561119803172423
27.006280757397462,-3.853970265589911
27.097569424236205,-3.851815371917714
27.189166671910932,-3.8496472570086335
27.281073543509866,-3.8474658782302167
27.373291085647153,-3.84527119258397
27.465820348474757,-3.8430631567288343
27.55866238569449,-3.84084172696755
27.6518182545699,-3.838606859234849
27.745289015938447,-3.8363830932926386
27.839075734223485,-3.834151840275046
27.933179477446387,-3.831907118507832
28.027601317238783,-3.8296488828680224
